원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status,한자,word_grade
검진,건강 상태를 알아보기 위하여 증상이나 상태를 살핌.,보건·의료,건강 상태를 알아보기 위하여 증상이나 상태를 살핌.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=30071",gloss,low,review,檢診,고급
지인,아는 사람.,,아는 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=76874",gloss,low,review,知人,고급
생성,없던 사물이 새로 생겨남. 또는 사물이 생겨 이루어지게 함.,복지,없던 사물이 새로 생겨남. 또는 사물이 생겨 이루어지게 함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=62898",gloss,low,review,生成,고급
어린이집,시설을 갖추고 만 6세 미만의 어린아이를 맡아 돌보아 주는 곳.,행정,시설을 갖추고 만 6세 미만의 어린아이를 맡아 돌보아 주는 곳.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70505",gloss,low,review,,고급
광역시,상급 지방 자치 단체의 하나.,행정,상급 지방 자치 단체의 하나.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=31429",gloss,low,review,廣域市,고급
임기,일을 맡아서 하는 일정한 기간.,,일을 맡아서 하는 일정한 기간.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=73107",gloss,low,review,任期,고급
조사원,사건이나 사실에 대하여 필요한 사항을 자세하게 알아내는 일을 하는 사람.,복지,사건이나 사실에 대하여 필요한 사항을 자세하게 알아내는 일을 하는 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=75309",gloss,low,review,調査員,고급
사후관리,일이 끝난 뒤에도 지속적으로 유지되도록 체계적으로 관리하는 일.,,일이 끝난 뒤에도 지속적으로 유지되도록 체계적으로 관리하는 일.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. 질의어와 다른 표기('사후 관리')로 매칭됨 — 확인 필요. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601933",gloss,low,review,事後管理,고급
쉼터,쉴 수 있게 마련된 시설이나 장소.,,쉴 수 있게 마련된 시설이나 장소.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=65258",gloss,low,review,,고급
업종,직업이나 사업의 종류.,,직업이나 사업의 종류.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=15122",gloss,low,review,業種,고급
적립,돈이나 물건 등을 모아서 쌓아 둠.,행정,돈이나 물건 등을 모아서 쌓아 둠.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74586",gloss,low,review,積立,고급
철회,이미 제출했던 것이나 주장했던 것을 다시 거두어들이거나 취소함.,행정,이미 제출했던 것이나 주장했던 것을 다시 거두어들이거나 취소함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=77361",gloss,low,review,撤回,고급
특별,보통과 차이가 나게 다름.,,보통과 차이가 나게 다름.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=49420",gloss,low,review,特別,고급
개정안,옳지 않거나 알맞지 않은 법이나 규칙을 바르게 고친 내용.,복지,옳지 않거나 알맞지 않은 법이나 규칙을 바르게 고친 내용.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=18587",gloss,low,review,改正案,고급
구직자,일자리를 구하는 사람.,,일자리를 구하는 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=93369",gloss,low,review,求職者,고급
납입,내기,금융·세무,세금이나 공과금 등을 국가나 공공 기관에 냄.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=25754",substitute,none,active,納入,고급
동년배,나이가 같은 사람.,,나이가 같은 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=61420",gloss,low,review,同年輩,고급
면제,안 내도 됨,,책임이나 의무에서 벗어나게 함.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2) 돈이 아닌 의무의 면제(교육·검사 등)면 '안 내도 됨' 대신 '하지 않아도 됨'으로 푼다.,"한국어기초사전(국립국어원), target_code=55073",substitute,none,active,免除,고급
민법,"가족 관계, 재산 문제 등 개인의 사회생활에 관한 일반 법규.",복지,"가족 관계, 재산 문제 등 개인의 사회생활에 관한 일반 법규.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=56398",gloss,low,review,民法,고급
배상금,남에게 입힌 손해를 물어 주기 위한 돈.,법률,남에게 입힌 손해를 물어 주기 위한 돈.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=59142",gloss,low,review,賠償金,고급
보육료,어린아이들을 돌보아 기르는 데 드는 요금.,행정,어린아이들을 돌보아 기르는 데 드는 요금.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601598",gloss,low,review,保育料,고급
사업주,사업의 소유주.,복지,사업의 소유주.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=93432",gloss,low,review,事業主,고급
서면,글,법률,일정한 내용을 적은 문서.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=93443",substitute,none,active,書面,고급
실태,있는 그대로의 상태.,,있는 그대로의 상태.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=14129",gloss,low,review,實態,고급
퇴직자,퇴직하는 사람. 또는 퇴직한 사람.,행정,퇴직하는 사람. 또는 퇴직한 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601496",gloss,low,review,退職者,고급
특별법,"특정한 지역, 사람, 사물 등에 한정하여 적용하는 법.",법률,"특정한 지역, 사람, 사물 등에 한정하여 적용하는 법.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=82992",gloss,low,review,特別法,고급
감액,액수를 줄임. 또는 그 액수.,복지,액수를 줄임. 또는 그 액수.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=31822",gloss,low,review,減額,고급
개시일,행동이나 일 등을 처음 시작하는 날.,금융·세무,행동이나 일 등을 처음 시작하는 날.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=26647",gloss,low,review,開始日,고급
결여,있어야 할 것이 없거나 모자람.,,있어야 할 것이 없거나 모자람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=31479",gloss,low,review,缺如,고급
고령,나이가 많음,,나이가 많음. 또는 많은 나이.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=19899",substitute,none,active,高齡,고급
고령자,나이가 많은 사람.,복지,나이가 많은 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=19916",gloss,low,review,高齡者,고급
고립,다른 곳이나 사람과 교류하지 못하고 혼자 따로 떨어짐.,법률,다른 곳이나 사람과 교류하지 못하고 혼자 따로 떨어짐.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=19987",gloss,low,review,孤立,고급
고용,돈을 주고 사람에게 일을 시킴.,복지,돈을 주고 사람에게 일을 시킴.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=18798",gloss,low,review,雇用,고급
공문서,공공 기관이나 단체에서 업무에 관련하여 공식적으로 작성한 서류.,법률,공공 기관이나 단체에서 업무에 관련하여 공식적으로 작성한 서류.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=23122",gloss,low,review,公文書,고급
과반수,전체의 수에서 절반이 넘는 수.,,전체의 수에서 절반이 넘는 수.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=18832",gloss,low,review,過半數,고급
기금,"공공의 목적이나 사업, 행사 등에 쓰기 위해 모은 돈.",복지,"공공의 목적이나 사업, 행사 등에 쓰기 위해 모은 돈.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=38772",gloss,low,review,基金,고급
노임,노동에 대한 보수.,법률,노동에 대한 보수.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=42893",gloss,low,review,勞賃,고급
담당관,행정 기관의 책임자를 도와 정책을 기획하거나 연구 조사를 하는 공무원.,,행정 기관의 책임자를 도와 정책을 기획하거나 연구 조사를 하는 공무원.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=20400",gloss,low,review,擔當官,고급
대장암,대장에 생기는 암.,,대장에 생기는 암.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=47056",gloss,low,review,大腸癌,고급
도지사,도의 행정을 맡아보는 가장 높은 직위. 또는 그 직위에 있는 사람.,,도의 행정을 맡아보는 가장 높은 직위. 또는 그 직위에 있는 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=46633",gloss,low,review,道知事,고급
등본,관청에 등록한 문서의 원본의 내용을 그대로 복사한 서류.,금융·세무,관청에 등록한 문서의 원본의 내용을 그대로 복사한 서류.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=50070",gloss,low,review,謄本,고급
변화율,어떤 기준에서 달라지는 비율.,,어떤 기준에서 달라지는 비율.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=58558",gloss,low,review,變化率,고급
부가,주된 것에 덧붙이거나 이미 있는 것에 더함.,복지,주된 것에 덧붙이거나 이미 있는 것에 더함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=59749",gloss,low,review,附加,고급
생활권,"출퇴근, 쇼핑, 오락 등의 일상생활을 하면서 활동하는 범위.",금융·세무,"출퇴근, 쇼핑, 오락 등의 일상생활을 하면서 활동하는 범위.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=62734",gloss,low,review,生活圈,고급
서신,다른 사람에게 하고 싶은 말을 적어서 보내는 글.,법률,다른 사람에게 하고 싶은 말을 적어서 보내는 글.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=62750",gloss,low,review,書信,고급
송부,보내기,행정,"편지나 서류, 물건 등을 부치어 보냄.",,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=64674",substitute,none,active,送付,고급
수강료,강의나 강습을 받기 위해 내는 돈.,복지,강의나 강습을 받기 위해 내는 돈.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=64034",gloss,low,review,受講料,고급
양곡,식량으로 쓰는 곡식.,금융·세무,식량으로 쓰는 곡식.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=67165",gloss,low,review,糧穀,고급
여비,여행하는 데 드는 비용.,,여행하는 데 드는 비용.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=22685",gloss,low,review,旅費,고급
요양,편안히 쉬면서 몸을 보살피고 병을 치료함.,보건·의료,편안히 쉬면서 몸을 보살피고 병을 치료함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=69282",gloss,low,review,療養,고급
요율,요금의 정도나 비율.,,요금의 정도나 비율.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=68850",gloss,low,review,料率,고급
