원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status,한자,word_grade
돌봄,관심을 가지고 보살펴 건강한 생활을 유지하거나 건강의 회복을 돕는 일.,보건·의료,관심을 가지고 보살펴 건강한 생활을 유지하거나 건강의 회복을 돕는 일.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=600730",gloss,low,review,,고급
저소득,적은 수입.,금융·세무,적은 수입.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74872",gloss,low,review,低所得,고급
거주,사는 것,행정,일정한 곳에 머물러 삶.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=20484",substitute,none,active,居住,고급
관내,우리 지역 안,보건·의료,어떤 기관이 책임을 지고 있는 구역의 안.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=22436",substitute,none,active,管內,고급
저소득층,상대적으로 다른 사람보다 돈을 적게 버는 사회 계층.,보건·의료,상대적으로 다른 사람보다 돈을 적게 버는 사회 계층.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74873",gloss,low,review,低所得層,고급
지원금,남의 일이 잘되거나 나아지도록 도우려고 주는 돈.,복지,남의 일이 잘되거나 나아지도록 도우려고 주는 돈.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=76868",gloss,low,review,支援金,고급
월평균,한 달을 단위로 하여 내는 평균.,금융·세무,한 달을 단위로 하여 내는 평균.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70111",gloss,low,review,月平均,고급
세대원,한집에 같이 사는 가족.,,한집에 같이 사는 가족.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=64142",gloss,low,review,世帶員,고급
전월,지난달,금융·세무,이번 달의 바로 전의 달.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=74798",substitute,none,active,前月,고급
심의,어떤 내용이나 문제 등의 좋고 나쁨이나 알맞은 정도를 자세히 살핌.,행정,어떤 내용이나 문제 등의 좋고 나쁨이나 알맞은 정도를 자세히 살핌.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=66173",gloss,low,review,審議,고급
수립,"국가, 정부나 제도, 계획 등을 세움.",복지,"국가, 정부나 제도, 계획 등을 세움.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=64933",gloss,low,review,樹立,고급
개요,전체 내용 중에서 주요 내용을 뽑아 간략히 정리한 것.,,전체 내용 중에서 주요 내용을 뽑아 간략히 정리한 것.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=26670",gloss,low,review,槪要,고급
영유아,영아와 유아를 아울러 이르는 말.,보건·의료,영아와 유아를 아울러 이르는 말.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601757",gloss,low,review,嬰幼兒,고급
혼인,남자와 여자가 부부가 되는 일.,법률,남자와 여자가 부부가 되는 일.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=87190",gloss,low,review,婚姻,고급
수가,"주로 서비스업에서, 일한 대가.",,"주로 서비스업에서, 일한 대가.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=64015",gloss,low,review,酬價,고급
수급,"급여나 연금, 배급 등을 받음.",복지,"급여나 연금, 배급 등을 받음.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=64126",gloss,low,review,受給,고급
감면,깎아 줌,복지,내야 하는 돈이나 형벌 등을 줄여 주거나 면제함.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=18983",substitute,none,active,減免,고급
신규,새로,복지,무엇을 새로 함.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=13996",substitute,none,active,新規,고급
활동비,어떤 일에서 좋은 결과를 거두기 위해 일하는 데에 필요한 돈.,복지,어떤 일에서 좋은 결과를 거두기 위해 일하는 데에 필요한 돈.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=87088",gloss,low,review,活動費,고급
제정,법이나 제도 등을 만들어서 정함.,,법이나 제도 등을 만들어서 정함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=83724",gloss,low,review,制定,고급
통합,여러 개의 기구나 조직 등을 하나로 합침.,,여러 개의 기구나 조직 등을 하나로 합침.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=81923",gloss,low,review,統合,고급
하절기,여름철,행정,여름철 기간.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=84537",substitute,none,active,夏節期,고급
납부,내기,보건·의료,세금이나 등록금 등을 국가 또는 공공 기관에 냄.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=38491",substitute,none,active,,고급
도모,어떤 일을 이루기 위해 대책이나 방법을 세움.,보건·의료,어떤 일을 이루기 위해 대책이나 방법을 세움.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=47102",gloss,low,review,圖謀,고급
예우,예의를 지켜 정중하게 대함.,법률,예의를 지켜 정중하게 대함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70625",gloss,low,review,禮遇,고급
개인별,개인에 따라 각각 갈라놓은 것.,복지,개인에 따라 각각 갈라놓은 것.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601836",gloss,low,review,個人別,고급
개입,직접적인 관계가 없는 일에 끼어듦.,,직접적인 관계가 없는 일에 끼어듦.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=18523",gloss,low,review,介入,고급
구성원,어떤 조직이나 단체를 이루고 있는 사람들.,보건·의료,어떤 조직이나 단체를 이루고 있는 사람들.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=36359",gloss,low,review,構成員,고급
무학,학교를 다닌 적이 없음. 또는 배우지 못함.,,학교를 다닌 적이 없음. 또는 배우지 못함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=55189",gloss,low,review,無學,고급
세대주,한 세대를 대표하는 사람.,,한 세대를 대표하는 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=64144",gloss,low,review,世帶主,고급
세부,자세한 부분.,,자세한 부분.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70187",gloss,low,review,細部,고급
의식주,인간 생활의 기본 요소인 옷과 음식과 집.,복지,인간 생활의 기본 요소인 옷과 음식과 집.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=71893",gloss,low,review,衣食住,고급
종사자,일정한 직업을 가지고 일하는 사람. 또는 어떤 분야에서 일하는 사람.,복지,일정한 직업을 가지고 일하는 사람. 또는 어떤 분야에서 일하는 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=75297",gloss,low,review,從事者,고급
주민등록번호,"주민 등록을 할 때에, 국가에서 국민에게 부여하는 고유 번호.",행정,"주민 등록을 할 때에, 국가에서 국민에게 부여하는 고유 번호.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. 질의어와 다른 표기('주민 등록 번호')로 매칭됨 — 확인 필요. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=75185",gloss,low,review,住民登錄番號,고급
한정,수량이나 범위 등을 제한하여 정함. 또는 그런 한도.,,수량이나 범위 등을 제한하여 정함. 또는 그런 한도.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=88982",gloss,low,review,限定,고급
현황,현재의 상황.,보건·의료,현재의 상황.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=86904",gloss,low,review,現況,고급
교육청,시나 군을 단위로 하여 학교의 교육과 관련된 일을 맡아 하는 관청.,,시나 군을 단위로 하여 학교의 교육과 관련된 일을 맡아 하는 관청.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=35124",gloss,low,review,敎育廳,고급
소속,어떤 기관이나 단체에 속함. 또는 속해 있는 사람이나 물건.,,어떤 기관이나 단체에 속함. 또는 속해 있는 사람이나 물건.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=49240",gloss,low,review,所屬,고급
유무,있음과 없음.,,있음과 없음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=70407",gloss,low,review,有無,고급
조치,필요한 일을 함,법률,벌어진 사태에 대하여 적절한 대책을 세워서 행함. 또는 그 대책.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=75991",substitute,none,active,措置,고급
주거비,집세나 수도 요금 등과 같이 집에서 살아가는 데 드는 비용.,보건·의료,집세나 수도 요금 등과 같이 집에서 살아가는 데 드는 비용.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=75837",gloss,low,review,住居費,고급
중증,몹시 위험하고 심한 병의 증세.,보건·의료,몹시 위험하고 심한 병의 증세.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=77195",gloss,low,review,重症,고급
증빙,증거,행정,믿을 수 있는 증거로 삼음. 또는 그 증거.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=77645",substitute,none,active,證憑,고급
해당자,해당하는 사람,금융·세무,무엇과 관계가 있는 사람.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=85152",substitute,none,active,該當者,고급
금품,돈이나 돈이 되는 물건.,행정,돈이나 돈이 되는 물건.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=41276",gloss,low,review,金品,고급
근로,일하는 것,금융·세무,부지런히 일함.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=37174",substitute,none,active,勤勞,고급
입소,"훈련소, 연구소, 교도소 등에 들어감.",복지,"훈련소, 연구소, 교도소 등에 들어감.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=83511",gloss,low,review,入所,고급
난임,임신하기 어려움. 또는 그런 상태.,법률,임신하기 어려움. 또는 그런 상태.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601038",gloss,low,review,難妊,고급
수혜,이익이나 도움을 받음.,,이익이나 도움을 받음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=64761",gloss,low,review,受惠,고급
해지,끊음,법률,계약을 한 한쪽이 계약으로 성립된 관계를 취소함.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=92518",substitute,none,active,解止,고급
법원,재판을 하는 국가 기관.,보건·의료,재판을 하는 국가 기관.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=14459",gloss,low,review,法院,고급
별지,문서에 따로 덧붙이는 종이.,,문서에 따로 덧붙이는 종이.,,2026-08-30 검수: substitute 승격 반려 — '별지 제3호 서식' 같은 공식 서식 인용 용법과 충돌(문맥 다의). gloss 유지 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=58959",gloss,low,active,別紙,고급
부담금,어떤 일에 책임을 지고 내야 하는 돈.,금융·세무,어떤 일에 책임을 지고 내야 하는 돈.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=60137",gloss,low,review,負擔金,고급
